Diagram        Frequency      Probability    Entropy        
KQ             0              1E-05          0              
KR             0              0,00032        0              
KS             39             0,00036        0,00412        
KT             2              0,00052        0,00567        
KU             2              0,00016        0,00202        
KV             0              5E-05          0              
KW             2              0,00015        0,00191        
KX             0              1E-05          0              
KY             8              0,0001         0,00133        
KZ             0              1E-05          0              
K-             254            0,0013         0,01246        
LA             336            0,0021         0,01868        
LB             3              0,00039        0,00442        
LC             15             0,00064        0,00679        
LD             263            0,00119        0,01156        
LE             657            0,00329        0,02713        
LF             66             0,0006         0,00642        
LG             1              0,00057        0,00614        
LH             1              0,00173        0,01587        
LI             405            0,00179        0,01634        
LJ             0              3E-05          0              
LK             44             0,00022        0,00267        
LL             441            0,00103        0,01022        
LM             23             0,00065        0,00688        
LN             4              0,00183        0,01664        
LO             302            0,00192        0,01733        
LP             11             0,00043        0,00481        
LQ             0              2E-05          0              
LR             13             0,00148        0,01391        
LS             55             0,00167        0,01541        
LT             85             0,0024         0,02089        
LU             54             0,00072        0,00752        
LV             21             0,00024        0,00289        
LW             31             0,00069        0,00725        
LX             0              3E-05          0              
LY             333            0,00047        0,0052         
LZ             0              3E-05          0              
L-             480            0,00598        0,04417        
MA             298            0,00132        0,01263        
MB             51             0,00025        0,00299        
MC             0              0,0004         0              
MD             0              0,00075        0              
ME             614            0,00207        0,01846        
MF             2              0,00038        0,00432        
MG             0              0,00036        0              
MH             0              0,00109        0              
MI             230            0,00113        0,01106        
MJ             0              2E-05          0              
MK             0              0,00014        0              
ML             4              0,00065        0,00688        
MM             46             0,00041        0,00461        
MN             6              0,00115        0,01123        
MO             251            0,00121        0,01173        
MP             113            0,00027        0,0032         
MQ             0              1E-05          0              
MR             37             0,00093        0,00937        
MS             59             0,00105        0,01039        
MT             2              0,00151        0,01415        
MU             72             0,00045        0,005          
MV             0              0,00015        0              
MW             1              0,00043        0,00481        
MX             0              2E-05          0              
MY             62             0,00029        0,00341        
MZ             0              2E-05          0              
M-             448            0,00377        0,03035        
NA             132            0,00372        0,03002        
NB             9              0,00069        0,00725        
NC             212            0,00114        0,01115        
ND             1089           0,00211        0,01875        
NE             568            0,00583        0,04327        
NF             21             0,00106        0,01047        
NG             910            0,001          0,00997        
NH             12             0,00307        0,02563        
NI             191            0,00317        0,02632        
NJ             5              5E-05          0,00071        
NK             65             0,0004         0,00452        
NL             56             0,00183        0,01664        
NM             7              0,00115        0,01123        
NN             52             0,00325        0,02686        
NO             399            0,00341        0,02795        
NP             0              0,00077        0              
NQ             3              4E-05          0,00058        
NR             2              0,00262        0,02247        
NS             222            0,00297        0,02493        
NT             677            0,00425        0,03348        
NU             31             0,00127        0,01222        
NV             24             0,00042        0,00471        
NW             3              0,00122        0,01181        
NX             0              6E-05          0              
NY             89             0,00083        0,00849        
NZ             0              5E-05          0              
N-             1677           0,0106         0,06953        
OA             44             0,00391        0,03127        
OB             41             0,00073        0,00761        
OC             59             0,00119        0,01156        
OD             109            0,00222        0,01957        
OE             9              0,00612        0,045          
OF             756            0,00111        0,01089        
OG             27             0,00105        0,01039        
OH             6              0,00322        0,02666        
OI             75             0,00333        0,02741        
OJ             1              5E-05          0,00071        
OK             104            0,00042        0,00471        
OL             227            0,00192        0,01733        
OM             440            0,00121        0,01173        
ON             960            0,00341        0,02795        
OO             281            0,00358        0,02909        
OP             110            0,0008         0,00823        
OQ             0              4E-05          0              
OR             688            0,00276        0,02346        
OS             218            0,00312        0,02597        
OT             323            0,00446        0,03483        
OU             914            0,00134        0,01279        
OV             138            0,00044        0,00491        
OW             324            0,00128        0,0123         
OX             8              6E-05          0,00084        
OY             21             0,00087        0,00885        
OZ             4              5E-05          0,00071        
O-             896            0,01114        0,07228        
PA             176            0,00088        0,00893        
PB             0              0,00016        0              
PC             0              0,00027        0              
PD             0              0,0005         0              
PE             290            0,00137        0,01303        
PF             2              0,00025        0,00299        
PG             0              0,00024        0              
PH             26             0,00072        0,00752        
PI             91             0,00075        0,00779        
PJ             0              1E-05          0              
PK             2              9E-05          0,00121        
PL             172            0,00043        0,00481        
PM             0              0,00027        0              
PN             1              0,00077        0,00796        
PO             163            0,0008         0,00823        
PP             91             0,00018        0,00224        
PQ             0              1E-05          0              
PR             182            0,00062        0,00661        
PS             58             0,0007         0,00734        
PT             67             0,001          0,00997        
PU             49             0,0003         0,00351        
PV             0              0,0001         0              
PW             2              0,00029        0,00341        
PX             0              1E-05          0              
PY             9              0,0002         0,00246        
PZ             0              1E-05          0              
P-             142            0,0025         0,02161        
QA             0              5E-05          0              
QB             0              1E-05          0              
QC             0              1E-05          0              
QD             0              3E-05          0              
QE             0              7E-05          0              
QF             0              1E-05          0              
QG             0              1E-05          0              
QH             0              4E-05          0              
QI             0              4E-05          0              
QJ             0              0              0              
QK             0              1E-05          0              
QL             0              2E-05          0              
QM             0              1E-05          0              
QN             0              4E-05          0              
QO             0              4E-05          0              
QP             0              1E-05          0              
QQ             0              0              0              
QR             0              3E-05          0              
QS             0              4E-05          0              
QT             0              5E-05          0              
QU             82             2E-05          0,00031        
QV             0              1E-05          0              
QW             0              2E-05          0              
QX             0              0              0              
QY             0              1E-05          0              
QZ             0              0              0              
Q-             0              0,00013        0              
RA             325            0,00301        0,02521        
RB             21             0,00056        0,00605        
RC             46             0,00092        0,00928        
RD             161            0,00171        0,01572        
RE             1197           0,00471        0,03641        
RF             18             0,00085        0,00867        
RG             25             0,00081        0,00832        
RH             19             0,00248        0,02147        
RI             399            0,00256        0,02204        
RJ             0              4E-05          0              
RK             55             0,00032        0,00372        
RL             66             0,00148        0,01391        
RM             103            0,00093        0,00937        
RN             136            0,00262        0,02247        
RO             536            0,00276        0,02346        
RP             24             0,00062        0,00661        
RQ             0              3E-05          0              
RR             94             0,00212        0,01883        
RS             258            0,0024         0,02089        
RT             215            0,00343        0,02808        
RU             83             0,00103        0,01022        
RV             29             0,00034        0,00392        
RW             20             0,00099        0,00988        
RX             0              5E-05          0              
RY             176            0,00067        0,00706        
RZ             0              4E-05          0              
R-             1212           0,00857        0,05885        
SA             246            0,0034         0,02788        
SB             6              0,00063        0,0067         
SC             117            0,00104        0,01031        
SD             5              0,00193        0,0174         
SE             612            0,00533        0,04025        
SF             11             0,00097        0,00971        
SG             5              0,00092        0,00928        
SH             372            0,0028         0,02375        
SI             342            0,0029         0,02445        
SJ             2              5E-05          0,00071        
SK             47             0,00036        0,00412        
SL             68             0,00167        0,01541        
SM             48             0,00105        0,01039        
SN             24             0,00297        0,02493        
SO             281            0,00312        0,02597        
SP             119            0,0007         0,00734        
SQ             11             4E-05          0,00058        
SR             0              0,0024         0              
SS             303            0,00271        0,02311        
ST             720            0,00388        0,03108        
SU             176            0,00117        0,01139        
SV             0              0,00038        0              
SW             43             0,00111        0,01089        
SX             0              6E-05          0              
SY             28             0,00076        0,00787        
SZ             0              4E-05          0              
S-             2314           0,00969        0,06482        
TA             234            0,00487        0,03741        
TB             3              0,00091        0,00919        
TC             47             0,00149        0,01399        
TD             2              0,00277        0,02353        
TE             698            0,00763        0,05367        
TF             16             0,00138        0,01311        
TG             1              0,00131        0,01254        
TH             2812           0,00401        0,03193        
TI             518            0,00415        0,03284        
TJ             0              7E-05          0              
TK             1              0,00052        0,00567        
TL             126            0,0024         0,02089        
TM             9              0,00151        0,01415        
TN             9              0,00425        0,03348        
TO             812            0,00446        0,03483        
TP             4              0,001          0,00997        
TQ             0              5E-05          0              
TR             241            0,00343        0,02808        
TS             184            0,00388        0,03108        
TT             157            0,00556        0,04165        
TU             149            0,00167        0,01541        
TV             0              0,00055        0              
TW             71             0,0016         0,01486        
TX             0              8E-05          0              
TY             121            0,00109        0,01073        
TZ             15             6E-05          0,00084        
T-             2221           0,01388        0,08565        
UA             68             0,00146        0,01375        
UB             31             0,00027        0,0032         
UC             86             0,00045        0,005          
UD             47             0,00083        0,00849        
UE             54             0,00229        0,02008        
UF             23             0,00041        0,00461        
UG             137            0,00039        0,00442        
UH             1              0,0012         0,01164        
UI             58             0,00124        0,01197        
UJ             0              2E-05          0              
UK             1              0,00016        0,00202        
UL             264            0,00072        0,00752        
UM             65             0,00045        0,005          
UN             339            0,00127        0,01222        
UO             4              0,00134        0,01279        
UP             133            0,0003         0,00351        
UQ             1              2E-05          0,00031        
UR             364            0,00103        0,01022        
US             356            0,00117        0,01139        
UT             392            0,00167        0,01541        
UU             0              0,0005         0              
UV             5              0,00016        0,00202        
UW             0              0,00048        0              
UX             1              2E-05          0,00031        
UY             4              0,00033        0,00382        
UZ             2              2E-05          0,00031        
U-             100            0,00416        0,0329         
VA             24             0,00048        0,00529        
VB             0              9E-05          0              
VC             0              0,00015        0              
VD             0              0,00027        0              
VE             631            0,00075        0,00779        
VF             0              0,00014        0              
VG             0              0,00013        0              
VH             0              0,00039        0              
VI             129            0,00041        0,00461        
VJ             0              1E-05          0              
VK             0              5E-05          0              
VL             0              0,00024        0              
VM             0              0,00015        0              
VN             0              0,00042        0              
VO             34             0,00044        0,00491        
VP             0              0,0001         0              
VQ             0              1E-05          0              
VR             0              0,00034        0              
VS             0              0,00038        0              
VT             0              0,00055        0              
VU             2              0,00016        0,00202        
VV             1              5E-05          0,00071        
VW             0              0,00016        0              
VX             0              1E-05          0              
VY             7              0,00011        0,00145        
VZ             0              1E-05          0              
V-             1              0,00136        0,01295        
WA             707            0,0014         0,01327        
WB             0              0,00026        0              
WC             1              0,00043        0,00481        
WD             8              0,00079        0,00814        
WE             341            0,00219        0,01935        
WF             2              0,0004         0,00452        
WG             0              0,00038        0              
WH             394            0,00115        0,01123        
WI             346            0,00119        0,01156        
WJ             0              2E-05          0              
WK             1              0,00015        0,00191        
WL             9              0,00069        0,00725        
WM             0              0,00043        0              
WN             102            0,00122        0,01181        
WO             214            0,00128        0,0123         
WP             1              0,00029        0,00341        
WQ             0              2E-05          0              
WR             29             0,00099        0,00988        
WS             32             0,00111        0,01089        
WT             0              0,0016         0              
WU             0              0,00048        0              
WV             0              0,00016        0              
WW             0              0,00046        0              
WX             0              2E-05          0              
WY             1              0,00031        0,00361        
WZ             0              2E-05          0              
W-             238            0,00398        0,03173        
XA             5              7E-05          0,00097        
XB             0              1E-05          0              
XC             29             2E-05          0,00031        
XD             0              4E-05          0              
XE             4              0,00011        0,00145        
XF             0              2E-05          0              
XG             0              2E-05          0              
XH             5              6E-05          0,00084        
XI             6              6E-05          0,00084        
XJ             0              0              0              
XK             0              1E-05          0              
XL             0              3E-05          0              
XM             0              2E-05          0              
XN             0              6E-05          0              
XO             0              6E-05          0              
XP             37             1E-05          0,00017        
XQ             2              0              0              
XR             0              5E-05          0              
XS             0              6E-05          0              
XT             19             8E-05          0,00109        
XU             0              2E-05          0              
XV             0              1E-05          0              
XW             1              2E-05          0,00031        
XX             0              0              0              
XY             3              2E-05          0,00031        
XZ             0              0              0              
X-             9              0,0002         0,00246        
YA             23             0,00095        0,00954        
YB             8              0,00018        0,00224        
YC             2              0,00029        0,00341        
YD             0              0,00054        0              
YE             112            0,00149        0,01399        
YF             4              0,00027        0,0032         
YG             0              0,00026        0              
YH             3              0,00078        0,00805        
YI             39             0,00081        0,00832        
YJ             0              1E-05          0              
YK             0              0,0001         0              
YL             6              0,00047        0,0052         
YM             3              0,00029        0,00341        
YN             4              0,00083        0,00849        
YO             174            0,00087        0,00885        
YP             20             0,0002         0,00246        
YQ             0              1E-05          0              
YR             5              0,00067        0,00706        
YS             82             0,00076        0,00787        
YT             28             0,00109        0,01073        
YU             0              0,00033        0              
YV             0              0,00011        0              
YW             8              0,00031        0,00361        
YX             0              2E-05          0              
YY             1              0,00021        0,00257        
YZ             1              1E-05          0,00017        
Y-             1126           0,00271        0,02311        
ZA             5              5E-05          0,00071        
ZB             0              1E-05          0              
ZC             0              2E-05          0              
ZD             0              3E-05          0              
ZE             36             8E-05          0,00109        
ZF             0              1E-05          0              
ZG             0              1E-05          0              
ZH             0              4E-05          0              
ZI             11             4E-05          0,00058        
ZJ             0              0              0              
ZK             0              1E-05          0              
ZL             1              3E-05          0,00045        
ZM             0              2E-05          0              
ZN             0              5E-05          0              
ZO             3              5E-05          0,00071        
ZP             0              1E-05          0              
ZQ             0              0              0              
ZR             0              4E-05          0              
ZS             0              4E-05          0              
ZT             0              6E-05          0              
ZU             13             2E-05          0,00031        
ZV             0              1E-05          0              
ZW             0              2E-05          0              
ZX             0              0              0              
ZY             7              1E-05          0,00017        
ZZ             2              0              0              
Z-             12             0,00015        0,00191        
-A             2432           0,01216        0,07736        
-B             951            0,00227        0,01994        
-C             729            0,00371        0,02996        
-D             591            0,0069         0,04954        
-E             460            0,01903        0,10877        
-F             805            0,00345        0,02822        
-G             376            0,00328        0,02707        
-H             1828           0,01002        0,06654        
-I             1279           0,01035        0,06825        
-J             82             0,00017        0,00213        
-K             126            0,0013         0,01246        
-L             539            0,00598        0,04417        
-M             746            0,00377        0,03035        
-N             454            0,0106         0,06953        
-O             1339           0,01114        0,07228        
-P             591            0,0025         0,02161        
-Q             48             0,00013        0,00168        
-R             475            0,00857        0,05885        
-S             1649           0,00969        0,06482        
-T             3268           0,01388        0,08565        
-U             256            0,00416        0,0329         
-V             114            0,00136        0,01295        
-W             1718           0,00398        0,03173        
-X             0              0,0002         0              
-Y             231            0,00271        0,02311        
-Z             1              0,00015        0,00191        
--             0              0,03463        0              
Total:         113328         1,0001         8,1779         
Redundancy:    0,6971         
